feature,cluster,feature_dissatisfaction,feature_satisfaction,feature_neutral,feature_frequency,survey
hour late,3,0.015277018,0.000135885,0.046045967,8,1
be deliver,3,0.002827826,0.012761027,0.049068978,10,3
bank account,3,0.006466986,0.031676307,0,3,3
lot more,2,0,0.081453361,0,1,1
uber eats,3,0.013314018,0.019888254,0.028038509,109,2
customer service,3,0.024513622,0.009623376,0.037184891,115,2
delivery apps,3,0.006809972,0.022244758,0.020355409,6,2
multiple occasion,3,0.009162508,0.000655312,0.040710819,3,1
contact support,3,0.004007413,0.017165337,0.054210798,9,2
get food,3,0.022913778,0.014852467,0.020283766,6,1
horrible service,3,0.059175063,0,0,1,3
wrong address,3,0.043345032,0.002761609,0,10,1
have trouble,3,0.0295702,0,0,1,1
front door,3,0.018481375,0.008573979,0.030383058,4,3
customer service,3,0.0243551,0.009561145,0.036944428,115,2
double check,3,0,0.013674186,0.060681039,6,2
payment method,3,0,0.016586727,0.048544831,5,2
first place,3,0.004609346,0.02683473,0,4,3
customer service,3,0.024261275,0.009524312,0.036802104,115,2
missing item,3,0.020516247,0.001875316,0.006036694,20,3
delivery service,3,0.018738662,0.026935493,0,9,3
ur food,3,0.010454604,0.008172174,0.038777866,31,2
card information,3,0.037208386,0,0,1,2
last order,3,0.00182613,0.029900755,0,2,2
same exact,3,0.0121742,0.010262234,0,3,2
go grab,3,0,0.027617469,0,1,1
different driver,3,0,0.019902876,0.059949261,2,2
customer service,3,0.024045961,0.009439785,0.036475492,115,3
customer service,3,0.024024255,0.009431264,0.036442567,115,2
uber eats,3,0.013038151,0.019476169,0.027457551,109,1
many review,3,0,0.044491455,0,2,2
take long,3,0,0.039724514,0,1,3
uber eats,3,0.013020902,0.019450403,0.027421226,109,1
full amount,3,0,0.036258524,0,7,3
uber eats,3,0.012985168,0.019397023,0.027345971,109,1
customer service,3,0.023907773,0.009385537,0.036265875,115,2
make sure,2,0,0.054140098,0,7,2
treat customer,3,0.011567004,0.02635078,0.039685466,3,1
phone number,3,0,0.008847189,0.039612685,3,2
customer service,3,0.023804501,0.009344995,0.03610922,115,2
be grateful,2,0,0.098473622,0,1,1
business day,3,0.013429273,0.018694372,0.053847539,11,1
uber eats,3,0.01289312,0.019259524,0.027152123,109,1
do anything,3,0.013525696,0.010772368,0.039461086,18,1
date night,3,0.01708309,0,0,1,3
own food,3,0,0.036641123,0,2,1
ad be,3,0.005746168,0,0.094466006,5,3
multiple time,3,0.011584738,0.003206688,0.032196111,11,1
cold food,3,0.061752365,0,0,2,2
good experience,2,0,0.049626183,0,2,3
delivery apps,3,0.006571384,0.02146541,0.019642255,6,3
credit card,3,0.006113461,0.009547555,0.03676984,16,2
food sit,3,0,0.011452706,0.058831388,2,1
parking lot,3,0.004771453,0.009548854,0.039220925,3,3
long day,3,0.007154356,0,0,1,3
extra fee,3,0,0.01903305,0.039205456,6,2
only reason,3,0,0.014888743,0.033604676,7,2
customer service,3,0.023584195,0.009258509,0.035775036,115,3
front door,3,0.017875273,0.008292793,0.029386637,4,3
previous order,3,0.000475287,0,0,1,3
menu option,3,0.015446818,0.010376356,0,2,3
credit card,3,0.006085623,0.00950408,0.036602406,16,2
payment method,3,0,0.016005389,0.046843413,5,3
uber eats,3,0.01275429,0.019052141,0.026859755,109,3
be ready,2,0,0.060243667,0,2,1
uber eats,3,0.012726965,0.019011324,0.026802211,109,2
taco bell,3,0.011405012,0.007328697,0,3,3
promo code,3,0,0.022611983,0.038792359,3,2
most people,3,0,0.014166771,0.058188538,2,1
first thing,3,0.003279138,0.023161285,0,5,3
wrong address,3,0.041402348,0.002637836,0,10,1
wrong address,3,0.041395857,0.002637422,0,10,3
follow simple,3,0,0.007878385,0,3,3
grub hub,3,0.008348288,0.008343303,0.054484081,17,1
re order,3,0.006779054,0.005488968,0.051436833,9,1
convenience store,3,0.040589272,0,0,1,2
uber eats,3,0.012578109,0.018788966,0.026488731,109,2
grub hub,3,0.00832389,0.00831892,0.054324854,17,3
customer service,3,0.023161606,0.009092612,0.035134009,115,3
uber eats,3,0.012545647,0.018740475,0.026420367,109,2
ur food,3,0.010018145,0.007831002,0.037158968,31,1
food come,3,0.070069356,0,0,1,2
gift card,3,0.00968097,0.006462554,0.057574897,14,3
more money,2,0,0.089159215,0,1,1
free delivery,2,0,0.061112833,0,2,2
customer service,3,0.023080188,0.00906065,0.035010505,115,2
be nice,2,0,0.067586122,0,6,1
day go,3,0,0.003814819,0,1,3
missing item,3,0.019488308,0.001781356,0.005734234,20,3
couple time,3,0,0.005071347,0.057282584,2,3
grub hub,3,0.008260787,0.008255855,0.05391302,17,1
speak english,3,0.002901224,0.022802002,0,2,2
customer service,3,0.022956294,0.009012012,0.034822569,115,2
delivery fee,3,0.002479527,0.006706434,0.044759368,23,1
add menu,3,0.006942058,0.011366812,0,2,2
food delivery,3,0.056082828,0.007100189,0,3,2
full time,3,0,0.036595671,0,2,1
only thing,3,0.005780195,0.00906817,0.019005081,6,2
support number,3,0.020808704,0,0.057015243,2,3
debit card,3,0.020584048,0.005262552,0,8,3
uber eats,3,0.012414296,0.018544265,0.02614375,109,3
gift card,3,0.00955731,0.006380005,0.056839462,14,3
shake shack,3,0.009209597,0.010053096,0.037851042,3,1
escalation team,3,0.012267931,0.012554569,0.037815497,3,2
few time,3,0.010728577,0.01296597,0,3,1
bad experience,3,0.034484713,0.01003817,0,3,3
menu item,3,0.001529814,0.012524465,0.037724821,3,2
door dash,3,0.003275832,0.025075182,0.020209725,28,2
same exact,3,0.011451435,0.00965298,0,3,3
provide proof,3,0,0.0013383,0.056435115,2,2
customer service,3,0.022645952,0.00889018,0.034351809,115,2
error message,3,0.013729031,0,0.056425719,2,1
countless time,3,0,0.001248202,0.075193956,3,2
customer service,3,0.022617237,0.008878907,0.034308251,115,3
uber eats,3,0.012277109,0.018339337,0.025854842,109,1
credit card,3,0.005856504,0.009146258,0.035224352,16,2
delivery fee,3,0.002440351,0.006600473,0.044052173,23,2
make sure,2,0,0.051193987,0,7,3
full refund,3,0.003913068,0.021891246,0,7,1
expect customer,3,0.045626068,0,0,1,1
hard earn,3,0,0.004799303,0,1,1
make sure,2,0,0.050928178,0,7,3
contact support,3,0.003679285,0.015759833,0.049771997,9,3
hour late,3,0.013933039,0.000123931,0.041995123,8,2
uber eats,3,0.012138934,0.018132933,0.025563854,109,1
get home,2,0,0.074007341,0,1,2
same issue,3,0,0.028862863,0,1,1
customer service,3,0.022341342,0.008770599,0.033889744,115,1
google map,3,0.006770112,0.044341082,0,2,1
follow instruction,3,0.033098325,0,0.055649729,2,2
full refund,3,0.003866208,0.021629093,0,7,3
customer service,3,0.022311328,0.008758816,0.033844215,115,1
dollar order,3,0,0.029534949,0,1,3
be happy,2,0,0.117960142,0,1,2
dollar coupon,2,0.011186185,0.073725089,0,2,1
customer service,3,0.02225276,0.008735824,0.033755373,115,2
uber eats,3,0.012059699,0.018014573,0.025396989,109,1
re open,3,0.004483597,0.004684343,0.018427388,6,3
contact support,3,0.003623655,0.01552155,0.049019462,9,1
delivery instruction,3,0.02236313,0.003254847,0.036764596,3,1
cover cost,3,0.023898482,0,0,1,1
loyal customer,3,0.004219048,0.024693458,0,8,2
customer service,3,0.022099402,0.00867562,0.033522744,115,1
only reason,3,0,0.013943109,0.031470331,7,2
take advantage,3,0.005201947,0.036503927,0.054976565,4,1
front door,3,0.016679571,0.007738076,0.027420923,4,3
customer service,3,0.021931917,0.00860987,0.033268684,115,2
gift card,3,0.009190119,0.006134886,0.054655694,14,1
multiple occasion,3,0.008191492,0.000585864,0.036396407,3,1
re order,3,0.006393481,0.005176771,0.04851125,9,2
solve problem,3,0.00948387,0,0,1,3
delivery driver,3,0.005532258,0.025692996,0.039686988,11,3
business day,3,0.012356788,0.017201407,0.049547181,11,3
first thing,3,0.003074128,0.021713252,0,5,1
liquor store,3,0,0.041315113,0,1,3
grubhub guarantee,3,0.019862929,0,0.054423848,2,3
cart total,3,0,0.028891617,0,1,2
phone number,3,0,0.008098078,0.036258594,3,1
suspicious activity,3,0.043109205,0,0,2,2
gift card,3,0.009133928,0.006097375,0.054321514,14,1
be prepared,3,0.047894641,0,0,2,2
be careful,3,0.012940514,0,0,3,2
uber eats,3,0.011795377,0.017619734,0.024840344,109,3
first time,3,0.000390487,0.023723194,0,16,2
lunch break,3,0,0.005947328,0.071655564,3,2
please fix,3,0,0.004920785,0,1,2
uber cash,3,0.003368724,0.005456583,0.042875798,5,1
re order,3,0.006277544,0.005082897,0.047631564,9,3
customer service,3,0.021502479,0.008441284,0.032617267,115,3
fast delivery,3,0,0.030836242,0,1,2
last order,3,0.001629747,0.026685209,0,2,2
other apps,3,0.00938001,0.001185671,0,5,2
multiple time,3,0.010513925,0.002910284,0.029220126,11,2
business bureau,2,0,0.070997927,0,1,2
ur food,3,0.009295268,0.007265942,0.034477696,31,1
new driver,3,0.009491152,0.0082169,0,3,2
confirm order,3,0.042093843,0,0.053231957,2,3
wrong item,3,0.035617867,0,0,1,1
bad luck,3,0.034530789,0,0,2,1
uber eats,3,0.011592383,0.017316504,0.02441285,109,3
first thing,3,0.002998742,0.021180784,0,5,3
gift card,3,0.008925509,0.005958244,0.053081999,14,2
uber eats,3,0.011554397,0.017259763,0.024332855,109,1
ur food,3,0.009226597,0.007212263,0.034222984,31,2
wrong house,3,0.064519048,0,0,3,2
need help,3,0,0.035192896,0.053002092,2,1
customer service,3,0.021268369,0.008349379,0.032262143,115,3
next day,3,0.006313678,0.009384772,0.035334728,3,1
large amount,3,0.003987172,0,0,1,3
accept cash,3,0,0.035153628,0,1,1
missing item,3,0.017976163,0.001643136,0.005289301,20,1
customer service,3,0.021209155,0.008326133,0.032172321,115,1
ice cream,3,0,0.002339661,0.070472704,3,3
missing item,3,0.017963086,0.001641941,0.005285453,20,1
debit card,3,0.019061682,0.004873341,0,8,3
credit card,3,0.005484414,0.008565156,0.032986393,16,3
business day,3,0.011952039,0.016637972,0.047924254,11,3
specific instruction,3,0.00668051,0,0.052716679,2,2
door dash,3,0.003047133,0.023324583,0.018798804,28,1
ice cold,3,0.064035534,0,0,3,3
grub hub,3,0.00758273,0.007578202,0.049487763,17,3
door dash,3,0.003041036,0.023277914,0.01876119,28,2
horrible experience,3,0.127814815,0,0,1,1
partial refund,3,0.017041975,0,0,1,1
business model,3,0.015976593,0,0.05253048,2,2
uber eats,3,0.01143935,0.017087906,0.024090572,109,1
door dash,3,0.003040232,0.023271761,0.018756231,28,3
delivery apps,3,0.005856631,0.01913067,0.017505815,6,2
gift card,3,0.008820033,0.005887834,0.052454709,14,3
best app,2,0,0.069502403,0,1,1
correct order,3,0,0.017347791,0.052253116,2,2
low quality,3,0,0.009241971,0,1,2
customer service,3,0.020944744,0.008222333,0.031771234,115,1
uber eats,3,0.011364882,0.016976668,0.023933747,109,2
missing item,3,0.017732335,0.001620849,0.005217557,20,1
business day,3,0.011829358,0.016467192,0.047432336,11,3
most other,3,0,0.030420146,0,1,2
re open,3,0.004212638,0.004401252,0.017313759,6,3
customer service,3,0.020824025,0.008174942,0.031588114,115,3
door dash,3,0.003004131,0.022995416,0.018533506,28,3
uber eats,3,0.011294684,0.016871808,0.023785916,109,1
customer service,3,0.020807387,0.00816841,0.031562876,115,3
free delivery,2,0,0.055088169,0,2,1
business day,3,0.011728417,0.016326676,0.047027592,11,1
only thing,3,0.005237322,0.008216491,0.017220132,6,1
taco bell,3,0.010125089,0.006506237,0,3,1
follow instruction,3,0.030693712,0,0.051606744,2,2
many other,3,0,0.034746987,0,4,3
business day,3,0.011662326,0.016234674,0.046762588,11,3
tip amount,2,0,0.06821647,0,1,2
own risk,3,0.00746381,0.011368485,0,2,3
ur food,3,0.008932151,0.006982101,0.033130836,31,1
true cost,3,0.00761668,0.02433818,0,3,2
get refunded,3,0,0.011820248,0.050862367,2,1
hidden fee,3,0,0.003207199,0,1,3
grub hub,3,0.00731395,0.007309583,0.047733602,17,1
delivery driver,3,0.005141559,0.023878508,0.036884218,11,2
push notification,3,0,0.032552325,0,2,3
person deliver,3,0.020541979,0,0,1,2
customer service,3,0.020287361,0.007964262,0.030774045,115,3
take care,3,0,0.03987217,0,1,2
next order,3,0.006146323,0.004920124,0.040417792,5,2
get rid,3,0,0.033546297,0,1,3
uber eats,3,0.010999417,0.016430742,0.023164101,109,3
uber eats,3,0.010983778,0.016407381,0.023131166,109,2
uber eats,3,0.010971289,0.016388725,0.023104864,109,2
support number,3,0.018382897,0,0.050368604,2,2
chicken sandwich,3,0,0.024294512,0,1,2
bank account,3,0.00530437,0.025981631,0,3,1
hour late,3,0.012507123,0.000111247,0.037697315,8,2
different place,3,0.004258518,0,0.075394631,4,2
be great,2,0,0.100088269,0,3,2
customer service,3,0.020124295,0.007900247,0.030526689,115,2
door dash,3,0.002903057,0.022221737,0.017909948,28,3
go get,3,0,0.002685455,0.066859727,3,2
driver drop,3,0,0.033295677,0.050144795,2,2
many time,2,0,0.050381966,0,7,2
dash pas,3,0.011294225,0.013410418,0.01768088,17,3
couple time,3,0,0.004428766,0.050024412,2,3
food arrive,3,0.026364055,0,0,2,2
few minute,3,0.013689029,0.000948749,0,4,1
delivery window,3,0.009119911,0.006636797,0,2,1
multiple time,3,0.009805516,0.002714194,0.027251327,11,2
final straw,3,0.042535946,0,0,2,3
customer experience,3,0.028453751,0.013266222,0,3,1
re open,3,0.004038432,0.004219246,0.016597779,6,3
business day,3,0.011289253,0.015715333,0.045266671,11,1
door dash,3,0.002875844,0.022013435,0.017742063,28,2
customer service,3,0.019934407,0.007825702,0.030238647,115,1
different delivery,3,0.010069902,0,0,1,3
something go,3,0.030207057,0.001648685,0,3,3
next door,3,0.030207057,0,0,1,3
multiple time,3,0.009719116,0.002690278,0.027011205,11,2
negative review,2,0,0.062370533,0,1,2
uber eats,3,0.0107618,0.016075794,0.022663693,109,1
someone el,3,0.003662305,0.014774559,0.009862835,10,2
customer service,3,0.019788504,0.007768425,0.030017325,115,1
someone el,3,0.003659152,0.014761839,0.009854344,10,3
ur food,3,0.008511124,0.006652991,0.031569175,31,3
uber eats,3,0.010658416,0.015921361,0.022445973,109,2
complete opposite,3,0,0.010273151,0,2,3
double check,3,0,0.010974605,0.048701283,6,2
wrong location,3,0.059114012,0,0,1,2
debit card,3,0.017549472,0.004486727,0,8,1
something go,3,0.029557006,0.001613205,0,3,3
other apps,3,0.008508195,0.00107547,0,5,1
dash pas,3,0.010941533,0.012991643,0.017128748,17,1
be able,3,0.00245681,0.034513475,0,8,1
many issue,3,0,0.024666761,0,3,3
door dash,3,0.002802789,0.021454226,0.017291361,28,1
customer satisfaction,3,0,0.008027259,0,1,1
uber eats,3,0.010533265,0.015734412,0.022182412,109,3
first time,3,0.000349302,0.021221139,0,16,1
correct address,3,0.001645504,0.001764139,0.048306788,4,1
last time,3,0.01134797,0.000533936,0.032165285,6,3
front door,3,0.014655517,0.006799066,0.024093415,4,3
real human,3,0,0.019997254,0,3,3
true cost,3,0.007159275,0.022876598,0,3,1
debit card,3,0.017374574,0.004442012,0,8,3
be punish,2,0,0.063715386,0,1,2
uber eats,3,0.010447829,0.01560679,0.02200249,109,2
door dash,3,0.002776716,0.021254651,0.01713051,28,1
customer service,3,0.019228157,0.007548448,0.02916733,115,3
big deal,3,0.010220754,0,0.031903939,3,1
second time,3,0.005821948,0,0.063807877,6,2
only reason,3,0,0.012056208,0.027211497,7,3
long time,3,0.011769595,0.00947771,0,3,3
someone el,3,0.003531466,0.014246725,0.009510477,10,1
timely manner,3,0.001372925,0.022658296,0.01579945,6,1
priority delivery,3,0.01585728,0.006294413,0.023699175,4,2
gift card,3,0.007969482,0.005320046,0.047396293,14,2
speak english,3,0.00240141,0.018873744,0,2,1
be nice,2,0,0.055712497,0,6,1
delivery driver,3,0.004802821,0.022305334,0.034454197,11,1
hour wait,3,0.00215946,0.011000465,0.023667426,4,3
uber eats,3,0.010310477,0.015401615,0.021713234,109,1
customer service,3,0.018972892,0.007448237,0.028780117,115,2
escalation team,3,0.010225925,0.010464852,0.031521081,3,3
loyal customer,3,0.003617707,0.021173897,0,8,3
first place,3,0.003590974,0.020905963,0,4,2
estimated delivery,3,0.006305674,0.019606705,0.018848032,5,2
leave review,2,0,0.099970193,0,1,2
payment method,3,0,0.012842556,0.037586663,5,1
business day,3,0.010626748,0.014793085,0.042610215,11,3
dasher do,3,0,0.004149609,0.046871237,2,3
customer service,3,0.018808215,0.00738359,0.028530318,115,3
customer service,3,0.018783902,0.007374045,0.028493437,115,2
save money,3,0,0.012673029,0.023370801,4,2
delivery address,3,0,0.024428969,0,2,2
grub hub,3,0.006721772,0.006717759,0.043868827,17,2
door dash,3,0.002698287,0.020654306,0.016646653,28,1
customer service,3,0.01870364,0.007342537,0.028371687,115,2
other time,3,0.010750196,0.022180056,0,2,3
double check,3,0,0.010491843,0.046558962,6,3
delivery instruction,3,0.018843167,0.002742533,0.030977837,3,1
last night,3,0.010552173,0.000548507,0.055760107,5,2
delivery service,3,0.014330602,0.02059922,0,9,2
door dash,3,0.002671647,0.020450389,0.016482303,28,1
inflated price,3,0.005457804,0,0,2,1
resolve issue,3,0,0.011489811,0,1,3
missing item,3,0.015620654,0.001427827,0.004596217,20,2
first time,3,0.000331884,0.020162899,0,16,2
customer service,3,0.018416856,0.007229953,0.027936663,115,2
uber eats,3,0.009968938,0.01489143,0.020993975,109,3
think uber,2,0,0.066752914,0,1,1
apple pay,3,0.002316366,0,0,1,1
order something,3,0,0.028316262,0,3,2
uber eats,3,0.009952562,0.014866968,0.020959488,109,2
re open,3,0.003699711,0.00386536,0.015205651,6,2
delivery driver,3,0.004605214,0.021387608,0.03303662,11,2
be fair,3,0.009184612,0.027069721,0,2,1
order detail,3,0.011021534,0,0,1,3
technical issue,3,0,0.030029943,0,1,3
wrong house,3,0.055020598,0,0,3,1
many option,2,0,0.093843571,0,1,3
be deliver,3,0.002081537,0.009393274,0.036119223,10,3
add menu,3,0.005475316,0.008965192,0,2,2
last night,3,0.010214673,0.000530963,0.05397668,5,1
customer service,3,0.018034256,0.007079755,0.027356294,115,1
add note,2,0,0.047746224,0,1,3
same price,3,0.003189383,0.004973565,0,3,2
customer service,3,0.018030115,0.007078129,0.027350012,115,3
uber eats,3,0.00974744,0.014560561,0.020527514,109,2
cancellation fee,3,0.013307786,0,0,1,2
get food,3,0.016850768,0.010922488,0.01491666,6,3
uber eats,3,0.009741095,0.014551082,0.02051415,109,2
recent order,3,0,0.025698308,0,1,3
uber eats,3,0.009725134,0.01452724,0.020480538,109,3
customer service,3,0.017915916,0.007033298,0.027176783,115,2
customer service,3,0.017892477,0.007024096,0.027141228,115,1
missing item,3,0.015151775,0.001384969,0.004458254,20,3
specific instruction,3,0.005635073,0,0.044467019,2,1
chat support,3,0,0.029517394,0,1,3
dash pas,3,0.009959683,0.011825824,0.015591682,17,3
uber eats,3,0.009607368,0.014351323,0.02023253,109,2
half hour,3,0.02503502,0,0,1,1
delivery driver,3,0.004470025,0.020759759,0.032066806,11,3
exact same,3,0,0.006379404,0,3,2
help center,3,0.010718074,0,0,1,3
delivery service,3,0.013678626,0.019662051,0,9,3
ur food,3,0.007662067,0.005989299,0.028419881,31,1
customer service,3,0.017664158,0.006934465,0.02679489,115,1
wrong address,3,0.031364804,0.001998322,0,10,3
uber eats,3,0.009569871,0.014295311,0.020153565,109,1
uber eats,3,0.009563344,0.014285561,0.020139818,109,2
ridiculous amount,3,0.035608491,0,0,1,1
door dash,3,0.00254029,0.019444903,0.015671916,28,3
business day,3,0.009939164,0.013835927,0.039853201,11,3
delivery service,3,0.013612704,0.019567293,0,9,2
few month,3,0.031929336,0,0,2,1
main issue,3,0,0.019363176,0,1,2
money spent,3,0.015913416,0,0,1,1
business day,3,0.009885607,0.013761372,0.039638452,11,1
door dash,3,0.002524135,0.019321241,0.015572249,28,1
right location,3,0.000402572,0,0,1,3
ice cream,3,0,0.001921942,0.057890625,3,3
missing item,3,0.014755986,0.001348791,0.004341797,20,2
late night,3,0.015812386,0.017404467,0,2,2
grub hub,3,0.006248017,0.006244286,0.040776921,17,3
whole day,3,0,0.012453241,0,2,3
door dash,3,0.002505328,0.019177285,0.015456225,28,3
ad be,3,0.00421196,0,0.06924389,5,2
payment method,3,0,0.011827321,0.034615347,5,3
past month,3,0.021872129,0,0,1,2
specialized team,3,0.001752456,0,0.057620132,3,2
customer service,3,0.017341101,0.006807641,0.026304843,115,2
follow simple,3,0,0.005855419,0,3,3
ur food,3,0.007491604,0.005856051,0.027787606,31,3
few year,3,0,0.028440585,0,1,2
customer service,3,0.01714273,0.006729766,0.026003931,115,2
grub hub,3,0.006160808,0.006157129,0.04020776,17,3
same exact,3,0.008648477,0.007290228,0,3,2
credit card,3,0.004432344,0.006922111,0.026658647,16,3
inedible food,3,0.010347068,0,0,1,3
customer service,3,0.017064413,0.006699021,0.025885131,115,3
customer service,3,0.01703486,0.006687419,0.025840302,115,1
uber eats,3,0.009183152,0.013717637,0.019339158,109,2
second time,3,0.005122643,0,0.056143575,6,2
be true,3,0,0.030725982,0,1,2
uber eats,3,0.009130564,0.013639082,0.019228411,109,2
gift card,3,0.00704832,0.004705122,0.041917936,14,3
many time,3,0,0.04214198,0,7,2
multiple time,3,0.008225958,0.002276968,0.022861446,11,1
timely manner,3,0.001212854,0.020016546,0.013957379,6,1
multiple time,3,0.008216315,0.002274299,0.022834645,11,1
phone number,3,0,0.006229211,0.027890866,3,3
be hard,3,0,0.005247128,0,1,3
only reason,3,0,0.010567892,0.023852287,7,2
credit card,3,0.004328287,0.006759601,0.026032784,16,1
get refunded,3,0,0.009670693,0.041612861,2,1
credit card,3,0.004321388,0.006748828,0.025991295,16,2
lunch break,3,0,0.004572742,0.055094044,3,2
uber eats,3,0.008987172,0.013424885,0.018926435,109,1
timely manner,3,0.001195113,0.019723743,0.013753209,6,1
door dash,3,0.002388518,0.018283147,0.014735582,28,3
uber eats,3,0.008985892,0.013422973,0.01892374,109,2
customer service,3,0.01651146,0.006481947,0.025046354,115,2
delivery fee,3,0.001783914,0.004824993,0.032202455,23,2
support system,3,0.050058415,0,0,1,2
double check,3,0,0.009257362,0.041080786,6,3
least get,3,0.029877389,0,0,1,1
delivery fee,3,0.00177455,0.004799666,0.032033418,23,3
customer service,3,0.016424788,0.006447922,0.02491488,115,2
most part,3,0,0.04322961,0,2,1
missing item,3,0.013901084,0.001270648,0.004090251,20,1
customer service,3,0.016391625,0.006434903,0.024864575,115,2
door dash,3,0.002362563,0.018084472,0.014575456,28,3
door dash,3,0.002358793,0.018055614,0.014552197,28,1
be great,2,0,0.080650667,0,3,1
make thing,2,0,0.053767111,0,1,2
uber eats,3,0.00880683,0.013155493,0.018546645,109,2
fix issue,3,0.02300455,0.001785708,0,2,3
full refund,3,0.002803738,0.015685216,0,7,2
re open,3,0.003255704,0.003401473,0.013380803,6,3
customer service,3,0.016100089,0.006320454,0.024422342,115,1
gift card,3,0.006728771,0.004491807,0.040017507,14,2
estimated delivery,3,0.005355198,0.016651318,0.016007003,5,2
have problem,3,0.00121709,0,0,1,3
uber eats,3,0.008716613,0.013020728,0.018356655,109,2
google map,3,0.004867995,0.031883099,0,2,3
one accept,3,0.00242794,0.005300626,0,2,3
mark deliver,3,0,0.014456252,0,1,2
customer service,3,0.016012898,0.006286225,0.024290082,115,3
dinner time,2,0,0.105763087,0,1,3
other fee,3,0.01339621,0,0,1,1
delivery driver,3,0.004035003,0.018739424,0.028946072,11,3
customer service,3,0.015926022,0.00625212,0.024158298,115,2
next order,3,0.004828352,0.003865089,0.031750906,5,3
company do,3,0.00964421,0.007770308,0.026424854,3,1
real person,3,0,0.013120424,0,4,2
whole meal,3,0.020035335,0,0,1,1
delivery service,3,0.012268739,0.017635439,0,9,1
elderly mother,3,0.012016672,0,0,1,3
payment method,3,0,0.010747776,0.031455813,5,3
dash pas,3,0.008864736,0.010525718,0.013877565,17,3
uber eats,3,0.008548193,0.012769145,0.018001972,109,3
bad luck,3,0.025452124,0,0,2,3
first order,3,0.006681182,0.018914943,0,5,2
incomplete order,3,0.012702568,0,0,1,1
only solution,3,0.009526926,0,0,1,1
time pass,3,0,0.016249201,0,1,3
customer service,3,0.015711989,0.006168097,0.023833631,115,1
someone elses,3,0,0.028490636,0,1,2
uber eats,3,0.008490487,0.012682945,0.017880447,109,1
uber eats,3,0.008456206,0.012631737,0.017808254,109,2
first order,3,0.006581066,0.018631507,0,5,3
uber eats,3,0.008416532,0.012572472,0.017724702,109,1
arrival time,3,0.000782312,0.010247565,0.02572216,3,2
extra fee,3,0,0.012487322,0.02572216,6,2
order arrives,2,0,0.052945753,0,1,2
customer service,3,0.015419416,0.00605324,0.023389824,115,3
re order,3,0.004501623,0.003644943,0.034156569,9,1
delivery fee,3,0.001665929,0.004505875,0.030072631,23,1
uber eats,3,0.008362922,0.012492391,0.017611803,109,2
missing item,3,0.012971409,0.00118567,0.003816703,20,3
star review,3,0,0.001900692,0.038167034,2,3
different place,3,0.003233685,0,0.057250551,4,3
next order,3,0.004616968,0.003695877,0.030360862,5,1
other person,3,0.004039847,0,0.037951078,2,1
luck next,3,0,0.025157875,0,1,2
be able,3,0.001920585,0.026980537,0,8,1
debit card,3,0.013652249,0.003490357,0,8,3
get food,3,0.014233924,0.009226278,0.012600174,6,1
full refund,3,0.002627801,0.014700957,0,7,1
menu option,3,0.00994591,0.006681137,0,2,3
multiple time,3,0.00739554,0.002047106,0.020553563,11,1
customer service,3,0.015057853,0.005911301,0.022841367,115,1
ur food,3,0.006481008,0.005066086,0.024039137,31,2
order direct,3,0,0.011531088,0,1,3
full refund,3,0.002574774,0.014404298,0,7,3
last night,3,0.008410927,0.000437204,0.044445269,5,1
customer service,3,0.014833637,0.00582328,0.022501252,115,1
only way,3,0.003935024,0,0,1,1
delivery driver,3,0.003744378,0.017389696,0.026861199,11,1
customer service,3,0.014764801,0.005796257,0.022396834,115,2
contact support,3,0.002417755,0.010356201,0.032706488,9,1
missing item,3,0.012402308,0.00113365,0.003649251,20,1
own food,3,0,0.02261531,0,2,2
exact same,3,0,0.005279897,0,3,2
dash pas,3,0.008227325,0.009768875,0.012879711,17,2
gift card,3,0.006122939,0.004087382,0.036414487,14,1
dash pas,3,0.008105833,0.009624619,0.012689516,17,3
delivery apps,3,0.004007492,0.013090463,0.011978631,6,3
be hot,3,0,0.023861098,0,1,2
missing item,3,0.012213135,0.001116359,0.003593589,20,3
gift card,3,0.005974555,0.003988328,0.035532015,14,1
uber eats,3,0.007722025,0.01153503,0.016262113,109,2
many time,3,0,0.035258227,0,7,2
support person,3,0.005688034,0.011641868,0,2,1
free trial,3,0.007568452,0.018625065,0,2,1
uber eats,3,0.007637365,0.011408567,0.016083825,109,1
customer service,3,0.01406977,0.005523406,0.021342536,115,1
only reason,3,0,0.00878202,0.019821482,7,1
timely manner,3,0.001004749,0.016582049,0.011562531,6,2
dash pas,3,0.007794977,0.009255518,0.012202879,17,3
re order,3,0.004050441,0.003279623,0.030733176,9,3
multiple item,3,0,0.022857843,0,1,1
ur food,3,0.005987772,0.004680533,0.022209642,31,1
customer service,3,0.013809507,0.005421234,0.020947741,115,2
delivery fee,3,0.001491992,0.004035426,0.02693281,23,2
right address,3,0,0.01145798,0,2,2
delivery driver,3,0.0034889,0.016203204,0.025028469,11,3
customer service,3,0.013679454,0.005370179,0.020750463,115,3
uber eats,3,0.007420392,0.011084456,0.015626893,109,1
countless time,3,0,0.000753997,0.045422169,3,2
other apps,3,0.005964979,0.000753997,0,5,2
be able,3,0.001726834,0.024258713,0,8,1
negative rating,3,0.008288805,0,0,1,3
full amount,3,0,0.020417524,0,7,2
delivery guy,3,0.01228543,0,0.03366172,2,3
owe money,3,0,0.017880855,0,1,2
promo code,3,0,0.013080896,0.022441147,3,1
